7zip 26.00-1
illogical-impulse-basic 1.0-1
illogical-impulse-bibata-modern-classic-bin 2.0.6-1
illogical-impulse-fonts-themes 1.0-1
illogical-impulse-gnome 1.0-2
illogical-impulse-gtk 1.0-1
illogical-impulse-hyprland 1.0-4
illogical-impulse-kde 1.0-2
illogical-impulse-microtex-git r494.0e3707f-2
illogical-impulse-microtex-git-debug r494.0e3707f-2
illogical-impulse-portal 1.0-2
illogical-impulse-python 1.0-1
illogical-impulse-quickshell-git 0.1.0.r1-6
illogical-impulse-screencapture 1.0-1
illogical-impulse-toolkit 1.0-2
illogical-impulse-widgets 1.0-6
imagemagick 7.1.2.18-1
imath 3.2.2-4
imlib2 1.12.6-1
iniparser 4.2.6-2
intel-oneapi-common 2024.1.0-1
intel-oneapi-mkl 2025.0.1-3
intel-oneapi-openmp 2025.0.4-1
intel-oneapi-tbb 2021.12.0-2
intel-oneapi-tcm 1.2.0-3
iproute2 6.19.0-2
iptables 1:1.8.11-4
iputils 20250605-1
iso-codes 4.20.1-1
jansson 2.15.0-1
jasper 4.2.9-1
jbig2dec 0.20-1
jbigkit 2.1-8
jemalloc 1:5.3.0-7
jq 1.8.1-1
js140 140.9.0-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kaccounts-integration 25.12.3-1
kactivitymanagerd 6.6.3-1
karchive 6.24.0-2
karchive5 5.116.0-2
kauth 6.24.0-2
kauth5 5.116.0-2
kbd 2.9.0-1
kbookmarks 6.24.0-2
kbookmarks5 5.116.0-2
kcmutils 6.24.0-2
kcmutils5 5.116.0-2
kcodecs 6.24.0-2
kcodecs5 5.116.0-2
kcolorscheme 6.24.0-1
kcompletion 6.24.0-2
kcompletion5 5.116.0-2
kconfig 6.24.0-2
kconfig5 5.116.0-2
kconfigwidgets 6.24.0-2
kconfigwidgets5 5.116.0-3
kcoreaddons 6.24.0-3
kcoreaddons5 5.116.0-2
kcrash 6.24.0-2
kcrash5 5.116.0-2
kdbusaddons 6.24.0-2
kdbusaddons5 5.116.0-2
kde-cli-tools 6.6.3-1
kde-gtk-config 6.6.3-1
kdeclarative 6.24.0-2
kdeclarative5 5.116.0-2
kdecoration 6.6.3-1
kded 6.24.0-2
kded5 5.116.0-2
kdeplasma-addons 6.6.3-1
kdesu 6.24.0-2
kdialog 25.12.3-1
kdnssd 6.24.0-2
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3
keyutils 1.6.3-3
kfilemetadata 6.24.0-2
kglobalaccel 6.24.0-2
kglobalaccel5 5.116.0-2
kglobalacceld 6.6.3-1
kguiaddons 6.24.0-3
kguiaddons5 5.116.0-2
kholidays 1:6.24.0-2
ki18n 6.24.0-2
ki18n5 5.116.0-2
kiconthemes 6.24.0-2
kiconthemes5 5.116.0-2
kidletime 6.24.0-2
kimageformats 6.24.0-2
kinfocenter 6.6.3-1
kio 6.24.0-2
kio-extras 25.12.3-1
kio-fuse 5.1.1-1
kio5 5.116.0-5
kirigami 6.24.0-1
kirigami-addons 1.12.0-1
kirigami2 5.116.0-2
kitemmodels 6.24.0-2
kitemviews 6.24.0-2
kitemviews5 5.116.0-2
kitty 0.46.2-1
kitty-shell-integration 0.46.2-1
kitty-terminfo 0.46.2-1
kjobwidgets 6.24.0-3
kjobwidgets5 5.116.0-2
kmenuedit 6.6.3-1
kmod 34.2-1
knewstuff 6.24.0-2
knighttime 6.6.3-1
knotifications 6.24.0-3
knotifications5 5.116.0-3
knotifyconfig 6.24.0-2
konsole 25.12.3-1
kpackage 6.24.0-2
kpackage5 5.116.0-3
kparts 6.24.0-2
kpipewire 6.6.3-1
kpty 6.24.0-2
kquickcharts 6.24.0-1
kquickimageeditor 0.6.1-1
krb5 1.21.3-2
krdp 6.6.3-1
krunner 6.24.0-2
kscreen 6.6.3-2
kscreenlocker 6.6.3-2
kservice 6.24.0-2
kservice5 5.116.0-3
ksshaskpass 6.6.3-1
kstatusnotifieritem 6.24.0-2
ksvg 6.24.0-1
ksystemstats 6.6.3-1
ktexteditor 6.24.0-2
ktextwidgets 6.24.0-2
ktextwidgets5 5.116.0-2
kunitconversion 6.24.0-3
kuserfeedback 6.24.0-1
kvantum 1.1.6-1
kvantum-qt5 1.1.6-1
kvantum-theme-whitesur-git r151.1e4d960-1
kwallet 6.24.0-2
kwallet-pam 6.6.3-1
kwallet5 5.116.0-6
kwayland 6.6.3-1
kwidgetsaddons 6.24.0-3
kwidgetsaddons5 5.116.0-2
kwin 6.6.3-4
kwindowsystem 6.24.0-2
kwindowsystem5 5.116.0-2
kwrited 6.6.3-1
kxmlgui 6.24.0-3
kxmlgui5 5.116.0-2
l-smash 2.14.5-4
ladspa 1.17-7
lame 3.101.r6531-1
lapack 3.12.1-2
layer-shell-qt 6.6.3-3
lcms2 2.18-1
ldb 2:4.24.0-1
